"id","name","code","reconcile","chart_template_id/id","user_type_id/id"
"pcg_3138","Autres produits en cours","3138","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31411","Produits intermédiaires (groupe A)","31411","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31412","Produits intermédiaires (groupe B)","31412","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31451","Déchets","31451","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31452","Rebuts","31452","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_31453","Matières de récupération","31453","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3148","Autres produits intermédiaires et produits résiduels","3148","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3151","Produits finis (groupe A)","3151","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3152","Produits finis (groupe B)","3152","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3156","Produits finis en cours de route","3156","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3158","Autres produits finis","3158","False","l10n_kzc_temp_chart","account.data_account_type_revenue"
"pcg_3411","Fournisseurs - avances et acomptes versés sur commandes d'exploitation","3411","True","l10n_kzc_temp_chart","account.data_account_type_current_liabilities"
"pcg_3413","Fournisseurs - créances pour emballages et matériel à  rendre","3413","True","l10n_kzc_temp_chart","account.data_account_type_current_liabilities"
"pcg_3417","Rabais, remises et ristournes à  obtenir - avoirs non encore reçus","3417","True","l10n_kzc_temp_chart","account.data_account_type_current_liabilities"
"pcg_3418","Autres fournisseurs débiteurs","3418","True","l10n_kzc_temp_chart","account.data_account_type_current_liabilities"
"pcg_34211","Clients - catégorie A","34211","True","l10n_kzc_temp_chart","account.data_account_type_receivable"
"pcg_34212","Clients - catégorie B","34212","True","l10n_kzc_temp_chart","account.data_account_type_receivable"
"pcg_3423","Clients - retenues de garantie","3423","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3424","Clients douteux ou litigieux","3424","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3425","Clients - effets à  recevoir","3425","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34271","Clients - factures à  établir","34271","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34272","Créances sur travaux non encore facturés","34272","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3428","Autres clients et comptes rattachés","3428","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3431","Avances et acomptes au personnel","3431","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3438","Personnel - autres débiteurs","3438","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34511","Subventions d'investissement à  recevoir","34511","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34512","Subventions d'exploitation à  recevoir","34512","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34513","Subventions d'équilibre à  recevoir","34513","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3453","Acomptes sur impôts sur les résultats","3453","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_34551","Etat - TVA récupérable sur immobilisations","34551","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3455207","Etat - TVA récupérable sur charges 7%","3455207","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3455210","Etat - TVA récupérable sur charges 10%","3455210","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3455214","Etat - TVA récupérable sur charges 14%","3455214","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3455220","Etat - TVA récupérable sur charges 20%","3455220","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3456","Etat - crédit de TVA (suivant déclaration)","3456","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3458","Etat - autres comptes débiteurs","3458","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3461","Associés - comptes d'apport en société","3461","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3462","Actionnaires - capital souscrit et appelé non versé","3462","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3463","Comptes courants des associés débiteurs","3463","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3464","Associés - opérations faites en commun","3464","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3467","Créances rattachées aux comptes d'associés","3467","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3468","Autres comptes d'associés débiteurs","3468","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3481","Créances sur cessions d'immobilisations","3481","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3482","Créances sur cessions d'éléments d'actif circulant","3482","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3487","Créances rattachées aux autres débiteurs","3487","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3488","Divers débiteurs","3488","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3491","Charges constatées d'avance","3491","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3493","Intérêts courus et non échus à  percevoir","3493","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3495","Comptes de répartition périodique des charges","3495","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3497","Comptes transitoires ou d'attente - débiteurs","3497","True","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3501","Actions, partie libérée","3501","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3502","Actions, partie non libérée","3502","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3504","Obligations","3504","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_35061","Bons de caisse","35061","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_35062","Bons de trésor","35062","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3508","Autres titres et valeurs de placement similaires","3508","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3701","Diminution des créances circulantes","3701","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3702","Augmentation des dettes circulantes","3702","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3911","Provisions pour dépréciation des marchandises","3911","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3912","Provisions pour dépréciation des matières et fournitures","3912","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3913","Provisions pour dépréciation des produits en cours","3913","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
